NAME,COUNTY,ELEV_IN_M,ELEV_IN_FT
Swissvale,Allegheny,315,1033
Tarentum,Allegheny,241,791
Thornburg,Allegheny,259,850
Turtle Creek,Allegheny,227,745
Verona,Allegheny,229,751
Versailles,Allegheny,253,830
Wall,Allegheny,241,791
West Elizabeth,Allegheny,230,755
West Homestead,Allegheny,315,1033
West Mifflin,Allegheny,332,1089
West View,Allegheny,347,1138
Whitaker,Allegheny,301,988
Whitehall,Allegheny,383,1257
White Oak,Allegheny,250,820
Wilkinsburg,Allegheny,286,938
Wilmerding,Allegheny,236,774
Jefferson Hills,Allegheny,315,1033
New Philadelphia,Tuscarawas,275,902
Lykens,Dauphin,210,689
Berrysburg,Dauphin,221,725
Dauphin,Dauphin,109,358
Elizabethville,Dauphin,206,676
Gratz,Dauphin,249,817
Halifax,Dauphin,124,407
Harrisburg,Dauphin,101,331
Highspire,Dauphin,97,318
Hummelstown,Dauphin,117,384
Middletown,Dauphin,110,361
Millersburg,Dauphin,130,427
Paxtang,Dauphin,111,364
Penbrook,Dauphin,148,486
Pillow,Dauphin,168,551
Royalton,Dauphin,90,295
Steelton,Dauphin,97,318
Williamstown,Dauphin,223,732
Blain,Perry,218,715
Duncannon,Perry,108,354
Landisburg,Perry,177,581
Liverpool,Perry,121,397
Marysville,Perry,112,367
Millerstown,Perry,131,430
New Buffalo,Perry,113,371
Newport,Perry,119,390
Fairless Hills,Bucks,33,108
Penndel,Bucks,33,108
Perkasie,Bucks,113,371
Quakertown,Bucks,152,499
Richlandtown,Bucks,164,538
Riegelsville,Bucks,57,187
Sellersville,Bucks,105,344
Silverdale,Bucks,133,436
Trumbauersville,Bucks,164,538
Tullytown,Bucks,5,16
Arkansas City,Cowley,341,1119
Yardley,Bucks,22,72
Bristol,Bucks,7,23
Winfield,Cowley,344,1129
Caldwell,Sumner,349,1145
Chalfont,Bucks,86,282
Doylestown,Bucks,127,417
Wellington,Sumner,375,1230
Liberal,Seward,864,2835
Dublin,Bucks,175,574
Hulmeville,Bucks,12,39
Caney,Montgomery,237,778
Ivyland,Bucks,91,299
Cherryvale,Montgomery,255,837
Langhorne,Bucks,67,220
Coffeyville,Montgomery,225,738
Langhorne Manor,Bucks,67,220
Independence,Montgomery,245,804
Morrisville,Bucks,30,98
New Britain,Bucks,88,289
New Hope,Bucks,21,69
Newtown,Bucks,49,161
Anthony,Harper,412,1352
Telford,Bucks,134,440
Carteret,Middlesex,4,13
Sayreville,Middlesex,18,59
South Amboy,Middlesex,38,125
South Plainfield,Middlesex,18,59
South River,Middlesex,25,82
Spotswood,Middlesex,9,30
Middlesex,Middlesex,15,49
Milltown,Middlesex,25,82
New Brunswick,Middlesex,26,85
Harper,Harper,432,1417
Chetopa,Labette,251,823
Perth Amboy,Middlesex,17,56
Parsons,Labette,275,902
Steubenville,Jefferson,320,1050
Fredericktown,Knox,334,1096
Bedford,Bedford (city),306,1004
Mount Vernon,Knox,306,1004
Baxter Springs,Cherokee,257,843
Cleona,Lebanon,135,443
Columbus,Cherokee,278,912
Cornwall,Lebanon,189,620
Jonestown,Lebanon,147,482
Galena,Cherokee,275,902
Lebanon,Lebanon,143,469
Mount Gretna,Lebanon,205,673
Scammon,Cherokee,274,899
Myerstown,Lebanon,149,489
Palmyra,Lebanon,139,456
Weir,Cherokee,282,925
Salem,Salem (city),325,1066
Richland,Lebanon,150,492
Williamsburg,Williamsburg (city),26,85
Beatrice,Gage,392,1286
Fairlawn,Pulaski,585,1919
Hotevilla,Navajo,1926,6319
McDonald,Washington,301,988
Grand Canyon,Coconino,2099,6886
Fairview,Monmouth,33,108
Gray Mountain,Coconino,1533,5029
Jacob Lake,Coconino,2417,7930
Belmar,Monmouth,4,13
Ewing,Lee,429,1407
Bradley Beach,Monmouth,5,16
Martinsville,Martinsville (city),310,1017
Brielle,Monmouth,5,16
Larue,Benton,354,1161
War Eagle,Benton,359,1178
Red Bank,Monmouth,14,46
Osage,Carroll,405,1329
Roosevelt,Monmouth,46,151
Oakland,Marion,319,1047
Rumson,Monmouth,9,30
Peel,Marion,286,938
Sea Bright,Monmouth,6,20
Sea Girt,Monmouth,4,13
Clarkridge,Baxter,265,869
Japton,Madison,464,1522
Shrewsbury,Monmouth,41,135
Witter,Madison,436,1430
Wesley,Madison,385,1263
Monmouth Beach,Monmouth,6,20
Stonewall,Greene,87,285
Oceanport,Monmouth,6,20
Newburg,Izard,170,558
Violet Hill,Izard,228,748
Spring Lake,Monmouth,5,16
Evansville,Washington,342,1122
Spring Lake Heights,Monmouth,5,16
Tinton Falls,Monmouth,12,39
Spring Valley,Washington,398,1306
Union Beach,Monmouth,1,3
Summers,Washington,362,1188
West Long Branch,Monmouth,9,30
North Wales,Montgomery,112,367
Brentwood,Washington,452,1483
Rhea,Washington,344,1129
Pennsburg,Montgomery,116,381
Fox,Stone,431,1414
Pottstown,Montgomery,47,154
Old Lexington,Stone,410,1345
Red Hill,Montgomery,114,374
Timbo,Stone,260,853
Rockledge,Montgomery,74,243
Parthenon,Newton,283,928
Harriet,Searcy,273,896
Royersford,Montgomery,64,210
Rock Springs,Searcy,247,810
Snowball,Searcy,234,768
Witts Springs,Searcy,584,1916
Schwenksville,Montgomery,45,148
Souderton,Montgomery,126,413
Trappe,Montgomery,89,292
West Conshohocken,Montgomery,63,207
Princeton,Mercer,65,213
Pennington,Mercer,64,210
Tomato,Mississippi,78,256
Trenton,Mercer,18,59
Desha,Independence,100,328
Alma,Harlan,603,1978
Oark,Johnson,311,1020
Camp Hill,Cumberland,133,436
Lee Creek,Crawford,225,738
Carlisle,Cumberland,144,472
Lemoyne,Cumberland,120,394
Mechanicsburg,Cumberland,132,433
Uniontown,Crawford,266,873
Mount Holly Springs,Cumberland,169,554
Newburg,Cumberland,181,594
Moreland,Pope,231,758
Hyndman,Bedford,285,935
New Cumberland,Cumberland,118,387
Manns Choice,Bedford,356,1168
Scottsville,Pope,151,495
Newville,Cumberland,158,518
Shiremanstown,Cumberland,128,420
New Paris,Bedford,389,1276
Wolf Bayou,Cleburne,318,1043
Wormleysburg,Cumberland,135,443
Pleasantville,Bedford,380,1247
Deckerville,Poinsett,68,223
Shippensburg,Cumberland,199,653
Rainsburg,Bedford,428,1404
Bedford,Bedford,337,1106
Greenfield,Poinsett,77,253
Saint Clairsville,Bedford,373,1224
Weona,Poinsett,64,210
Coaldale,Bedford,345,1132
Saxton,Bedford,273,896
Everett,Bedford,308,1010
Whitehall,Poinsett,82,269
Schellsburg,Bedford,384,1260
Hopewell,Bedford,273,896
Woodbury,Bedford,391,1283
Adamstown,Lancaster,144,472
El Paso,White,102,335
Chambersburg,Franklin,187,614
Steprock,White,104,341
Greencastle,Franklin,178,584
Mercersburg,Franklin,178,584
Floyd,White,111,364
Mont Alto,Franklin,259,850
Kirkland Junction,Yavapai,1251,4104
Orrstown,Franklin,208,682
Waynesboro,Franklin,216,709
Forest Hills,Jackson,698,2290
Lake Santeetlah,Graham,605,1985
Callimont,Somerset,688,2257
Cleveland,Conway,222,728
Seven Springs,Somerset,768,2520
Washburn,Sebastian,185,607
Heath,Licking,262,860
Newark,Licking,254,833
Pataskala,Licking,305,1001
Fair Oaks,Cross,67,220
Exton,Chester,96,315
Atglen,Chester,149,489
Tilton,Cross,69,226
Vanndale,Cross,86,282
Avondale,Chester,81,266
Gregory,Woodruff,61,200
Coatesville,Chester,98,322
Hillemann,Woodruff,64,210
Howell,Woodruff,66,217
Downingtown,Chester,73,239
Prairie View,Logan,129,423
Elverson,Chester,206,676
Gravelly,Yell,141,463
Waltreak,Yell,125,410
Briggsville,Yell,134,440
Goleta,Santa Barbara,6,20
Parks,Scott,197,646
Honey Brook,Chester,226,741
Mabelvale,Pulaski,97,318
Kennett Square,Chester,117,384
Marche,Pulaski,82,269
Parkers,Pulaski,130,427
Walls,DeSoto,64,210
Felton,Lee,65,213
Detonti,Saline,108,354
Vimy Ridge,Saline,110,361
Malvern,Chester,171,561
Crystal Springs,Garland,203,666
Modena,Chester,93,305
Oxford,Chester,172,564
Potter,Polk,284,932
Parkesburg,Chester,161,528
Helena,Phillips,60,197
Oneida,Phillips,53,174
Phoenixville,Chester,42,138
South Coatesville,Chester,113,371
Spring City,Chester,52,171
Poplar Grove,Phillips,58,190
West Chester,Chester,137,449
Tichnor,Arkansas,55,180
West Grove,Chester,119,390
Social Hill,Hot Spring,105,344
Cross Roads,York,244,801
Dallastown,York,270,886
Delta,York,139,456
Dillsburg,York,173,568
Christmas,Gila,815,2674
Dover,York,137,449
East Prospect,York,142,466
Fawn Grove,York,222,728
Felton,York,166,545
Franklintown,York,211,692
Glen Rock,York,166,545
Goldsboro,York,93,305
Hallam,York,112,367
Hanover,York,183,600
